Period,Year,Method,N_Training,N_Validation,N_Images,OA_adj (%),QD,AD
T1 (2013),2013,Random Forest,1070,429,157,69.2,N/A,N/A
T2 (2016),2016,Random Forest,1008,492,210,71.8,N/A,N/A
T3 (2020),2020,Random Forest,1016,484,1191,67.8,N/A,N/A
T4 (2024),2024,Random Forest,1046,454,355,66.7,N/A,N/A
